index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
1988,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,58.4 [53.7-63.1],58.44663,53.65949,63.0795,,,
1989,anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,75.0 [70.6-78.9],74.97171,70.55098,78.92704,,,
1990,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,54.0 [30.8-93.0],53.97075,30.75379,93.03256,,,
1991,bmi30wm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,17.7 [14.2-21.9],17.72113,14.2107,21.8776,,,
1992,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
1993,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
1994,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
1995,cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,59.2 [56.3-61.9],59.15729,56.30821,61.94614,,,
1996,cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,62.7 [59.6-65.7],62.73286,59.64738,65.71802,,,
1997,cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,69.5 [67.0-71.9],69.52853,67.01829,71.92774,,,
1998,cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,71.7 [69.4-73.9],71.72955,69.42322,73.92725,,,
1999,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,86.6 [83.9-89.0],86.61464,83.85679,88.96337,,,
2000,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,90.6 [88.6-92.2],90.57125,88.60918,92.22501,,,
2001,fps,Demand for family planning satisfied - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3321,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,94.9 [93.4-96.0],94.87624,93.43876,96.01223,,,
2002,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2003,itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3327,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2004,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,No data,,,,,,Not available.
2005,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2006,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2007,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2008,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2009,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2010,ort,Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3331,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2011,sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,84.3 [80.5-87.5],84.30021,80.52892,87.45484,,,
2012,sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,95.5 [92.9-97.1],95.45331,92.88116,97.12487,,,
2013,sba5,Births attended by skilled health personnel (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3343,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,98.9 [97.6-99.5],98.94223,97.57901,99.54145,,,
2014,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,2.7 [1.8-4.0],2.68607,1.79585,3.99962,,,
2015,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,0.5 [0.2-1.5],0.47362,0.15094,1.47593,,,
2016,tfr,Total fertility rate (births per woman),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3344,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,1.7 [1.4-2.0],1.69536,1.44283,1.99199,,,
2017,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,72.5 [64.9-79.0],72.51158,64.87034,79.02807,,,
2018,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,82.9 [76.0-88.1],82.89935,76.01315,88.11767,,,
2019,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,93.1 [86.6-96.5],93.08393,86.6296,96.54675,,,
2020,vdpt,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,92.8 [85.6-96.5],92.77316,85.58614,96.52222,,,
2021,vmsl,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,91.0 [83.5-95.3],91.00776,83.49131,95.29482,,,
2022,vmsl,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,85.1 [75.6-91.3],85.05316,75.63723,91.2509,,,
2023,vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,56.0 [46.8-64.8],55.98468,46.80007,64.77704,,,
2024,vpolio,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,EUR,1993,1993,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,71.6 [63.9-78.3],71.62955,63.90192,78.26555,,,
2025,anc1,Antenatal care coverage - at least one visit (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,95.5 [92.1-97.5],95.50427,92.07862,97.48887,,,
2026,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,38.3 [32.6-44.4],38.31504,32.60604,44.36559,,,
2027,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,59.9 [55.2-64.5],59.94328,55.233,64.4767,,,
2028,anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3324,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,80.3 [76.0-83.9],80.29076,76.03605,83.94952,,,
2029,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,63.8 [49.3-82.3],63.82624,49.30294,82.25758,,,
2030,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,63.8 [46.8-86.4],63.81645,46.82495,86.41472,,,
2031,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,50.6 [38.3-66.7],50.60413,38.25029,66.67133,,,
2032,asfr1,Adolescent fertility rate (births per 1000 women aged 15-19 years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3322,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,33.7 [21.7-52.0],33.73583,21.72307,52.03821,,,
2033,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2034,carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3330,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2035,cpmt,Contraceptive prevalence - use of modern and traditional methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3333,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,74.5 [71.6-77.2],74.49532,71.56741,77.2177,,,
2036,csection,Births by caesarean section (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,7.7 [5.1-11.6],7.73708,5.07073,11.63364,,,
2037,csection,Births by caesarean section (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,11.1 [8.7-14.1],11.10729,8.67776,14.11191,,,
2038,csection,Births by caesarean section (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,14.4 [10.8-18.9],14.39477,10.82598,18.8908,,,
2039,csection,Births by caesarean section (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3326,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,20.8 [15.7-26.9],20.77658,15.73096,26.9235,,,
2040,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,No data,,,,,,Not available.
2041,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,No data,,,,,,Not available.
2042,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2043,fpsmowho,Demand for family planning satisfied - use of modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2044,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,No data,,,,,,Not available.
2045,itnwm,Pregnant women sleeping under insecticide-treated nets (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3318,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,No data,,,,,,Not available.
2046,overwgt5,Overweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5594,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,2.6 [1.6-4.2],2.61172,1.62864,4.1631,,,
2047,overwgt5,Overweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5594,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,2.2 [1.3-3.9],2.23720,1.25855,3.94643,,,
2048,overwgt5,Overweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5594,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,5.1 [3.4-7.6],5.14527,3.44765,7.61291,,,
2049,overwgt5,Overweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5594,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,4.8 [3.1-7.6],4.84711,3.05384,7.61077,,,
2050,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,0.7 [0.3-1.7],0.67550,0.26345,1.72089,,,
2051,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ3,Q3,,,,,,,,1.0 [0.4-2.3],1.01494,0.43914,2.32807,,,
2052,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ4,Q4,,,,,,,,0.4 [0.1-1.2],0.36008,0.10853,1.18774,,,
2053,sevwast5,Severe wasting prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5593,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ5,Q5 (Richest),,,,,,,,0.7 [0.2-2.2],0.74393,0.24736,2.2152,,,
2054,uwgt5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,14.2 [10.5-18.8],14.18707,10.53904,18.83202,,,
2055,uwgt5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,8.0 [6.2-10.3],8.01485,6.17218,10.34696,,,
2056,vfull,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,,,,27.7 [21.0-35.7],27.74550,20.97094,35.71939,,,
2057,vfull,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,EUR,1998,1998,Europe,,TUR,Turkey,,,,,,,,,,,,,,WQ2,Q2,,,,,,,,36.9 [29.0-45.5],36.87882,29.035,45.48351,,,
