index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
2271,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,4.0 [1.1-9.1],4.00000,1.1,9.1,,,
2272,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,11.5 [6.3-18.4],11.50000,6.3,18.4,,,
2273,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,12.2 [6.9-19.3],12.20000,6.9,19.3,,,
2274,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,12.9 [7.4-20.1],12.90000,7.4,20.1,,,
2275,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,13.6 [7.9-20.9],13.60000,7.9,20.9,,,
2276,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,24.6 [16.9-33.2],24.60000,16.9,33.2,,,
2277,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,25.4 [17.5-34.1],25.40000,17.5,34.1,,,
2278,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,26.2 [18.0-35.1],26.20000,18.0,35.1,,,
2279,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS05-19,5-19  years,,MLE,Male,,,,,27.1 [18.6-36.2],27.10000,18.6,36.2,,,
2280,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1975.0,1975,,EUR,Europe,,TUR,1975,1975,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,3.7 [0.7-9.7],3.70000,0.7,9.7,,,
2281,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,3.9 [0.9-9.9],3.90000,0.9,9.9,,,
2282,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1977.0,1977,,EUR,Europe,,TUR,1977,1977,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,4.2 [1.0-10.0],4.20000,1.0,10.0,,,
2283,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,4.4 [1.2-10.3],4.40000,1.2,10.3,,,
2284,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1992.0,1992,,EUR,Europe,,TUR,1992,1992,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,13.0 [6.8-21.5],13.00000,6.8,21.5,,,
2285,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,13.9 [7.4-22.8],13.90000,7.4,22.8,,,
2286,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,14.7 [8.0-24.0],14.70000,8.0,24.0,,,
2287,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,15.5 [8.6-25.2],15.50000,8.6,25.2,,,
2288,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,2009.0,2009,,EUR,Europe,,TUR,2009,2009,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,27.9 [18.1-39.0],27.90000,18.1,39.0,,,
2289,NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4806,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS05-09,5-9 years,,MLE,Male,,,,,28.8 [18.9-40.1],28.80000,18.9,40.1,,,
2290,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,17.0 [15.5-18.5],17.03623,15.53109,18.54062,,,
2291,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1977.0,1977,,EUR,Europe,,TUR,1977,1977,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,17.1 [15.6-18.5],17.08541,15.6491,18.50682,,,
2292,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,17.1 [15.8-18.5],17.13430,15.76841,18.48245,,,
2293,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1979.0,1979,,EUR,Europe,,TUR,1979,1979,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,17.2 [15.9-18.5],17.18363,15.8722,18.472,,,
2294,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,18.3 [17.6-19.0],18.26817,17.55411,18.98326,,,
2295,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,18.4 [17.7-19.0],18.35472,17.67017,19.04343,,,
2296,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,18.4 [17.8-19.1],18.43834,17.7764,19.10149,,,
2297,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,18.5 [17.9-19.2],18.51921,17.87753,19.15847,,,
2298,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,19.3 [19.0-19.5],19.26433,19.01582,19.50977,,,
2299,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,19.3 [19.1-19.6],19.31972,19.0803,19.5552,,,
2300,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,19.4 [19.1-19.6],19.37807,19.12991,19.62418,,,
2301,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS05-19,5-19  years,,BTSX,Both sexes,,,,,19.4 [19.2-19.7],19.43926,19.16488,19.71336,,,
2302,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,14.5 [12.9-16.1],14.50527,12.94913,16.08885,,,
2303,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1977.0,1977,,EUR,Europe,,TUR,1977,1977,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,14.6 [13.1-16.1],14.56061,13.07532,16.06343,,,
2304,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,14.6 [13.2-16.1],14.61576,13.20198,16.05687,,,
2305,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1979.0,1979,,EUR,Europe,,TUR,1979,1979,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,14.7 [13.3-16.0],14.67065,13.31124,16.04647,,,
2306,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,15.6 [14.8-16.5],15.61279,14.75842,16.48915,,,
2307,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,15.7 [14.8-16.5],15.67898,14.84696,16.5265,,,
2308,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,15.7 [14.9-16.6],15.74405,14.93709,16.57527,,,
2309,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,15.8 [15.0-16.6],15.80821,15.02771,16.62284,,,
2310,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,16.5 [16.1-17.0],16.54732,16.14607,16.95412,,,
2311,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,16.6 [16.2-17.0],16.59728,16.2258,16.98026,,,
2312,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,16.6 [16.3-17.0],16.64863,16.29533,17.00756,,,
2313,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS05-09,5-9 years,,BTSX,Both sexes,,,,,16.7 [16.3-17.1],16.70225,16.34977,17.0594,,,
2314,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,18.5 [17.0-20.0],18.54148,17.03543,20.01558,,,
2315,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1977.0,1977,,EUR,Europe,,TUR,1977,1977,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,18.6 [17.2-20.0],18.59707,17.1815,20.00119,,,
2316,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,18.7 [17.3-20.0],18.65232,17.30948,19.97539,,,
2317,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1979.0,1979,,EUR,Europe,,TUR,1979,1979,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,18.7 [17.4-20.0],18.70648,17.41995,19.96073,,,
2318,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,19.7 [19.0-20.4],19.66843,18.97909,20.35569,,,
2319,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,19.7 [19.1-20.4],19.74097,19.07674,20.39535,,,
2320,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,19.8 [19.2-20.4],19.81321,19.18064,20.44305,,,
2321,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,19.9 [19.3-20.5],19.88548,19.28003,20.49101,,,
2322,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,20.6 [20.3-20.9],20.63126,20.34968,20.90582,,,
2323,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,20.7 [20.4-21.0],20.68283,20.39639,20.9613,,,
2324,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,20.7 [20.4-21.0],20.73866,20.43467,21.03329,,,
2325,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS10-19,10-19 years,,BTSX,Both sexes,,,,,20.8 [20.5-21.1],20.79834,20.46046,21.13064,,,
2326,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,17.4 [15.3-19.7],17.43291,15.25408,19.69985,,,
2327,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1977.0,1977,,EUR,Europe,,TUR,1977,1977,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,17.5 [15.4-19.7],17.47549,15.40141,19.6502,,,
2328,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,17.5 [15.6-19.6],17.51701,15.5557,19.5859,,,
2329,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1979.0,1979,,EUR,Europe,,TUR,1979,1979,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,17.6 [15.7-19.5],17.55955,15.70046,19.50731,,,
2330,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,18.6 [17.5-19.6],18.57459,17.53955,19.6357,,,
2331,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,18.7 [17.7-19.7],18.65142,17.66044,19.67295,,,
2332,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,18.7 [17.8-19.7],18.72470,17.75993,19.71203,,,
2333,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1996.0,1996,,EUR,Europe,,TUR,1996,1996,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,18.8 [17.9-19.7],18.79439,17.8527,19.73021,,,
2334,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2010.0,2010,,EUR,Europe,,TUR,2010,2010,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,19.3 [19.0-19.7],19.32310,18.95224,19.68748,,,
2335,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2011.0,2011,,EUR,Europe,,TUR,2011,2011,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,19.4 [19.0-19.7],19.36327,19.00379,19.71439,,,
2336,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2012.0,2012,,EUR,Europe,,TUR,2012,2012,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,19.4 [19.0-19.8],19.40909,19.04127,19.77934,,,
2337,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2013.0,2013,,EUR,Europe,,TUR,2013,2013,Turkey,,YEARS05-19,5-19  years,,FMLE,Female,,,,,19.5 [19.1-19.9],19.46047,19.06136,19.86743,,,
2338,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1976.0,1976,,EUR,Europe,,TUR,1976,1976,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,14.8 [12.6-17.2],14.82812,12.55625,17.18408,,,
2339,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1977.0,1977,,EUR,Europe,,TUR,1977,1977,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,14.9 [12.7-17.1],14.88009,12.71469,17.14357,,,
2340,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1978.0,1978,,EUR,Europe,,TUR,1978,1978,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,14.9 [12.9-17.1],14.93152,12.8792,17.10019,,,
2341,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1979.0,1979,,EUR,Europe,,TUR,1979,1979,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,15.0 [13.0-17.1],14.98293,13.00381,17.05036,,,
2342,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1993.0,1993,,EUR,Europe,,TUR,1993,1993,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,15.9 [14.6-17.1],15.85190,14.60831,17.09754,,,
2343,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1994.0,1994,,EUR,Europe,,TUR,1994,1994,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,15.9 [14.7-17.1],15.90921,14.69348,17.1164,,,
2344,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1995.0,1995,,EUR,Europe,,TUR,1995,1995,Turkey,,YEARS05-09,5-9 years,,FMLE,Female,,,,,16.0 [14.8-17.1],15.96455,14.79,17.12715,,,
